"taxon","relative_abundance_percent"
"s__Escherichia_coli",0.000998631874332172
"s__Bacteroides_dorei",1.84304618553901
"s__Lawsonibacter_asaccharolyticus",0.000998631874332172
"s__Barnesiella_intestinihominis",0.889140655761881
"s__Gordonibacter_pamelaeae",0.000998631874332172
"s__Streptococcus_parasanguinis",0.000998631874332172
"s__Bifidobacterium_adolescentis",0.000998631874332172
"s__Oscillibacter_sp_CAG_241",0.000998631874332172
"s__Bilophila_wadsworthia",0.000998631874332172
"s__Ruminococcus_bicirculans",0.000998631874332172
"s__Asaccharobacter_celatus",0.000998631874332172
"s__Adlercreutzia_equolifaciens",0.000998631874332172
"s__Eubacterium_sp_CAG_38",0.000998631874332172
"s__Eubacterium_ventriosum",0.000998631874332172
"s__Eubacterium_siraeum",2.08205631464414
"s__Lachnospira_pectinoschiza",0.000998631874332172
"s__Clostridium_leptum",0.000998631874332172
"s__Butyricimonas_virosa",0.0903413637535322
"s__Akkermansia_muciniphila",0.000998631874332172
"s__Bacteroides_stercoris",0.000998631874332172
"s__Prevotella_copri",31.1010440342404
"s__Parasutterella_excrementihominis",0.107854756726866
"s__Intestinibacter_bartlettii",0.000998631874332172
"s__Roseburia_sp_CAG_471",0.000998631874332172
"s__Ruminococcus_gnavus",0.000998631874332172
"s__Bacteroides_cellulosilyticus",0.000998631874332172
"s__Ruminococcus_lactaris",0.000998631874332172
"s__Bacteroides_fragilis",0.000998631874332172
"s__Eggerthella_lenta",0.000998631874332172
"s__Collinsella_intestinalis",0.000998631874332172
"s__Alistipes_indistinctus",0.000998631874332172
"s__Firmicutes_bacterium_CAG_110",0.227338146288129
"s__Streptococcus_thermophilus",0.000998631874332172
"s__Slackia_isoflavoniconvertens",0.000998631874332172
"s__Intestinimonas_butyriciproducens",0.000998631874332172
"s__Anaeromassilibacillus_sp_An250",0.000998631874332172
"s__Clostridium_bolteae",0.000998631874332172
"s__Coprococcus_eutactus",0.000998631874332172
"s__[Collinsella]_massiliensis",0.000998631874332172
"s__Haemophilus_parainfluenzae",0.000998631874332172
"s__Clostridium_sp_CAG_58",0.000998631874332172
"s__Butyricimonas_synergistica",0.129724822952229
"s__Veillonella_parvula",0.29534343150327
"s__Enorma_massiliensis",0.000998631874332172
"s__Holdemania_filiformis",0.000998631874332172
"s__Bacteroides_massiliensis",0.000998631874332172
"s__Coprobacter_fastidiosus",0.000998631874332172
"s__Proteobacteria_bacterium_CAG_139",0.000998631874332172
"s__Phascolarctobacterium_faecium",0.000998631874332172
"s__Clostridium_citroniae",0.000998631874332172
"s__Lactobacillus_rogosae",0.000998631874332172
"s__Holdemanella_biformis",0.297109943294516
"s__Bifidobacterium_pseudocatenulatum",0.000998631874332172
"s__Eubacterium_sp_CAG_180",0.000998631874332172
"s__Paraprevotella_xylaniphila",0.000998631874332172
"s__Methanobrevibacter_smithii",5.90524300571763
"s__Firmicutes_bacterium_CAG_95",0.66859761924744
"s__Bacteroides_eggerthii",0.000998631874332172
"s__Turicimonas_muris",0.000998631874332172
"s__Clostridium_innocuum",0.000998631874332172
"s__Sutterella_parvirubra",0.000998631874332172
"s__Anaerotruncus_colihominis",0.000998631874332172
"s__Olsenella_scatoligenes",0.000998631874332172
"s__Turicibacter_sanguinis",0.000998631874332172
"s__Bacteroides_finegoldii",0.502112011044254
"s__Firmicutes_bacterium_CAG_94",0.000998631874332172
"s__Eubacterium_sp_CAG_274",0.000998631874332172
"s__Bacteroides_plebeius",1.86722463833821
"s__Veillonella_atypica",0.000998631874332172
"s__Alistipes_inops",0.000998631874332172
"s__Bifidobacterium_bifidum",0.000998631874332172
"s__Veillonella_dispar",0.000998631874332172
"s__Dialister_invisus",0.16250824729897
"s__Hungatella_hathewayi",0.000998631874332172
"s__Bacteroides_intestinalis",0.000998631874332172
"s__Eubacterium_sp_CAG_251",0.000998631874332172
"s__Clostridium_symbiosum",0.000998631874332172
"s__Coprobacter_secundus",0.000998631874332172
"s__Firmicutes_bacterium_CAG_145",0.000998631874332172
"s__Firmicutes_bacterium_CAG_170",0.000998631874332172
"s__Erysipelatoclostridium_ramosum",0.000998631874332172
"s__Eisenbergiella_tayi",0.000998631874332172
"s__Clostridium_spiroforme",0.000998631874332172
"s__Bacteroides_salyersiae",0.000998631874332172
"s__Phascolarctobacterium_succinatutens",0.000998631874332172
"s__Desulfovibrio_piger",0.000998631874332172
"s__Clostridium_sp_CAG_167",0.000998631874332172
"s__Bacteroides_clarus",0.000998631874332172
"s__Clostridium_disporicum",0.000998631874332172
"s__Ruminococcus_callidus",0.000998631874332172
"s__Parabacteroides_goldsteinii",0.000998631874332172
"s__Bacteroides_galacturonicus",0.000998631874332172
"s__Bacteroides_sp_CAG_144",0.000998631874332172
"s__Roseburia_sp_CAG_309",0.000998631874332172
"s__Veillonella_infantium",0.000998631874332172
"s__Blautia_sp_CAG_257",0.000998631874332172
"s__Roseburia_sp_CAG_182",0.000998631874332172
"s__Eisenbergiella_massiliensis",0.000998631874332172
"s__Haemophilus_sp_HMSC71H05",0.000998631874332172
"s__Klebsiella_pneumoniae",0.000998631874332172
"s__Bacteroides_faecis",0.000998631874332172
"s__Lactococcus_lactis",0.000998631874332172
"s__Bacteroides_coprocola",0.000998631874332172
"s__Catenibacterium_mitsuokai",0.000998631874332172
"s__Clostridium_saccharolyticum",0.000998631874332172
"s__Clostridium_clostridioforme",0.000998631874332172
"s__Parabacteroides_johnsonii",0.000998631874332172
"s__Streptococcus_oralis",0.000998631874332172
"s__Prevotella_sp_CAG_279",6.04689991138251
"s__Ruminococcaceae_bacterium_D5",0.000998631874332172
"s__Monoglobus_pectinilyticus",0.000998631874332172
"s__Bifidobacterium_catenulatum",0.000998631874332172
"s__Clostridium_sp_CAG_242",0.000998631874332172
"s__Paraprevotella_clara",0.000998631874332172
"s__Sellimonas_intestinalis",0.000998631874332172
"s__Streptococcus_vestibularis",0.000998631874332172
"s__Prevotella_stercorea",0.000998631874332172
"s__Victivallis_vadensis",0.000998631874332172
"s__Klebsiella_variicola",0.000998631874332172
"s__Firmicutes_bacterium_CAG_238",0.000998631874332172
"s__Streptococcus_anginosus_group",0.000998631874332172
"s__Bifidobacterium_dentium",0.000998631874332172
"s__Clostridium_sp_CAG_253",0.000998631874332172
"s__Clostridium_bolteae_CAG_59",0.000998631874332172
"s__Butyrivibrio_crossotus",0.000998631874332172
"s__Megamonas_funiformis",0.000998631874332172
"s__Dialister_sp_CAG_357",0.000998631874332172
"s__Alistipes_onderdonkii",0.000998631874332172
"s__Blautia_hydrogenotrophica",0.000998631874332172
"s__Bifidobacterium_animalis",0.000998631874332172
"s__Acidaminococcus_intestini",0.000998631874332172
"s__Coprobacillus_cateniformis",0.000998631874332172
"s__Megamonas_hypermegale",0.000998631874332172
"s__Desulfovibrionaceae_bacterium",0.000998631874332172
"s__Klebsiella_quasipneumoniae",0.000998631874332172
"s__Faecalitalea_cylindroides",0.000998631874332172
"s__Phascolarctobacterium_sp_CAG_266",0.000998631874332172
"s__Dorea_sp_CAG_317",0.000998631874332172
"s__Anaerotignum_lactatifermentans",0.000998631874332172
"s__Tyzzerella_nexilis",0.000998631874332172
"s__Eubacterium_sp_OM08_24",0.000998631874332172
"s__Clostridium_sp_CAG_299",0.000998631874332172
